lane_id	question	head	family	model	transport	cleanliness	http	raw_answer	acceptance	exclusion_reason	raw_path
nyari-fable-q一-db788fa2-7954-472f-8677-d4ba4f5dd6fd	一	nyari-fable	Anthropic	claude-fable-5	Anthropic Messages raw	prompt=question-only; independent HTTP lane; no prior findings	429	Error 	不受理	HTTP429	raw-v2-terra/nyari-fable/q一/nyari-fable-q一-db788fa2-7954-472f-8677-d4ba4f5dd6fd.json
kimi-q一-bfdd2e19-6d7f-4ca8-8718-618ac950d23d	一	kimi	Moonshot	kimi-k2.7-code	Moonshot OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	429	Your account org-add2af2bc9894ba58473a8b522e6c7f1 <ak-fbjpw87by5t111cx7nq1> is suspended due to insufficient balance, please recharge your account or check your plan and billing details 	不受理	HTTP429-quota	raw-v2-terra/kimi/q一/kimi-q一-bfdd2e19-6d7f-4ca8-8718-618ac950d23d.json
deepseek-q一-2303c057-506f-4eaa-b74e-5aa599172eb0	一	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	一: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q一/deepseek-q一-2303c057-506f-4eaa-b74e-5aa599172eb0.json
deepseek-q一-3243d9c4-60be-44d5-a088-d96c82606927	一	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	一: 〇 	不受理	形式非数値	raw-v2-terra/deepseek/q一/deepseek-q一-3243d9c4-60be-44d5-a088-d96c82606927.json
deepseek-q一-31a2474a-35ce-45f5-a1af-d9788c824533	一	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	一: 闇 	不受理	形式非数値	raw-v2-terra/deepseek/q一/deepseek-q一-31a2474a-35ce-45f5-a1af-d9788c824533.json
deepseek-q一-1f6051e9-abe7-4f1c-a851-07b5e988903d	一	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	一: 十 	不受理	形式非数値	raw-v2-terra/deepseek/q一/deepseek-q一-1f6051e9-abe7-4f1c-a851-07b5e988903d.json
deepseek-q一-5d591c44-ae9e-45e9-bb14-df772b5a7bd5	一	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	一: ○ 	不受理	形式非数値	raw-v2-terra/deepseek/q一/deepseek-q一-5d591c44-ae9e-45e9-bb14-df772b5a7bd5.json
deepseek-q二-b4963200-453c-448a-bbec-1940ff080fdd	二	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	二: 距(愛,無)=十 	不受理	形式非数値	raw-v2-terra/deepseek/q二/deepseek-q二-b4963200-453c-448a-bbec-1940ff080fdd.json
deepseek-q二-ec7f6e0b-0a6b-462e-aaaf-047f695de97e	二	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	二: 距(愛,無) = 〇 	不受理	形式非数値	raw-v2-terra/deepseek/q二/deepseek-q二-ec7f6e0b-0a6b-462e-aaaf-047f695de97e.json
deepseek-q二-e1cd5b73-06f5-4c65-87f9-30408b47d7c5	二	deepseek	DeepSeek	deepseek-chat	DeepSeek OpenAI-compatible raw	prompt=question-only; independent HTTP lane; no prior findings	200	二: ✕ 	不受理	形式非数値	raw-v2-terra/deepseek/q二/deepseek-q二-e1cd5b73-06f5-4c65-87f9-30408b47d7c5.json
